id;email;balance;last_name;first_name;user_type_id
1;Amaya30@hotmail.com;31344;Padberg;Tyler;63943
2;Keara63@hotmail.com;81905;Hermiston;Shaina;21896
3;Stacy.Reynolds@yahoo.com;96470;Kshlerin;Miller;87074
4;Tyra11@hotmail.com;8131;Howe;America;66023
5;Aaliyah_Metz@yahoo.com;30102;Trantow;Elmore;87155
6;Spencer_Gutmann@yahoo.com;36018;Sauer;Ofelia;95533
7;Lizzie36@yahoo.com;1688;Yost;Randi;66540
8;Dominic.Runolfsdottir@yahoo.com;26362;Kiehn;Rossie;75170
9;Alvina_Kerluke@gmail.com;6620;Conroy;Lucienne;20454
10;Alfonzo_Price@hotmail.com;90222;Kertzmann;Clara;97092
